order_id,customer_id,order_date,shipped_date,delivered_date,channel,promo_code,discount_pct,subtotal,shipping_cost,tax,order_total,status,is_first_order
O00000020,C000015,2024-03-30,2024-03-31,2024-04-02,direct,LOYAL15,0.2,71.96,0.0,5.76,77.72,delivered,False
O00000021,C000016,2023-09-04,2023-09-05,2023-09-09,organic_search,SUMMER15,0.1,41.38,5.99,3.31,50.68,delivered,True
O00000022,C000017,2023-06-19,2023-06-20,2023-06-22,paid_social,,0.0,34.99,5.99,2.8,43.78,delivered,False
O00000023,C000017,2023-07-02,2023-07-03,2023-07-06,direct,,0.0,64.97,0.0,5.2,70.17,delivered,False
O00000024,C000019,2023-05-24,2023-05-25,2023-05-28,organic_search,,0.0,100.95,0.0,8.08,109.03,delivered,True
O00000025,C000020,2024-03-12,2024-03-13,2024-03-15,email,,0.0,37.98,5.99,3.04,47.01,delivered,True
O00000026,C000022,2023-03-04,2023-03-05,2023-03-10,organic_search,,0.0,128.95,0.0,10.32,139.27,delivered,True
O00000027,C000023,2023-07-27,2023-07-28,2023-07-31,organic_search,,0.0,75.97,0.0,6.08,82.05,delivered,True
O00000028,C000024,2023-04-22,2023-04-23,2023-04-25,organic_social,,0.0,12.99,5.99,1.04,20.02,delivered,True
O00000029,C000025,2024-05-22,2024-05-23,2024-05-25,paid_social,,0.0,112.94,0.0,9.04,121.98,delivered,True
O00000030,C000025,2024-06-02,2024-06-03,2024-06-06,organic_search,,0.0,170.95,0.0,13.68,184.63,delivered,False
O00000031,C000026,2024-03-14,2024-03-15,2024-03-20,organic_search,,0.0,75.96,0.0,6.08,82.04,delivered,True
O00000032,C000027,2023-03-06,2023-03-07,2023-03-10,paid_social,,0.0,34.99,5.99,2.8,43.78,delivered,True
O00000033,C000027,2023-08-04,2023-08-05,2023-08-07,direct,,0.0,65.98,0.0,5.28,71.26,delivered,False
O00000034,C000028,2023-03-31,2023-04-01,2023-04-03,email,BFCM20,0.1,46.78,0.0,3.74,50.52,delivered,True
O00000035,C000028,2023-04-01,2023-04-02,2023-04-04,email,,0.0,44.98,5.99,3.6,54.57,delivered,False
O00000036,C000029,2023-03-24,2023-03-25,2023-03-29,referral,SUMMER15,0.15,33.12,5.99,2.65,41.76,delivered,True
O00000037,C000029,2023-05-08,2023-05-09,2023-05-14,email,,0.0,34.99,5.99,2.8,43.78,refunded,False
O00000038,C000030,2023-05-17,2023-05-18,2023-05-20,paid_search,,0.0,12.99,5.99,1.04,20.02,delivered,True
O00000039,C000032,2023-06-25,2023-06-26,2023-06-29,email,,0.0,12.99,5.99,1.04,20.02,delivered,True
O00000040,C000033,2023-11-16,2023-11-17,2023-11-19,paid_search,SUMMER15,0.1,62.98,0.0,5.04,68.02,delivered,True
O00000041,C000034,2023-09-18,2023-09-19,2023-09-20,paid_social,BFCM20,0.2,48.78,0.0,3.9,52.68,delivered,True
O00000042,C000035,2024-05-24,2024-05-25,2024-05-27,direct,,0.0,26.99,5.99,2.16,35.14,delivered,True
O00000043,C000037,2023-06-29,2023-06-30,2023-07-02,organic_search,,0.0,122.95,0.0,9.84,132.79,delivered,False
O00000044,C000038,2023-08-27,2023-08-28,2023-08-31,paid_search,,0.0,30.98,5.99,2.48,39.45,delivered,True
O00000045,C000039,2023-09-01,2023-09-02,2023-09-06,organic_search,,0.0,76.97,0.0,6.16,83.13,delivered,True
O00000046,C000040,2023-09-13,2023-09-14,2023-09-16,paid_social,WELCOME10,0.2,27.99,5.99,2.24,36.22,delivered,True
O00000047,C000041,2023-11-22,2023-11-23,2023-11-28,paid_search,,0.0,77.98,0.0,6.24,84.22,delivered,True
O00000048,C000046,2024-01-09,2024-01-10,2024-01-13,email,SUMMER15,0.1,80.07,0.0,6.41,86.48,delivered,True
O00000049,C000046,2024-02-13,2024-02-14,2024-02-16,paid_search,,0.0,22.99,5.99,1.84,30.82,delivered,False
O00000050,C000046,2024-04-24,2024-04-25,2024-04-30,email,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000051,C000047,2023-09-14,2023-09-15,2023-09-16,email,,0.0,26.99,5.99,2.16,35.14,delivered,True
O00000052,C000048,2024-01-22,2024-01-23,2024-01-26,paid_social,,0.0,12.99,5.99,1.04,20.02,delivered,True
O00000053,C000049,2023-04-10,2023-04-11,2023-04-15,organic_search,SUMMER15,0.1,61.17,0.0,4.89,66.06,delivered,True
O00000054,C000049,2023-04-14,2023-04-15,2023-04-17,organic_search,,0.0,77.98,0.0,6.24,84.22,delivered,False
O00000055,C000049,2023-04-23,2023-04-24,2023-04-27,organic_search,,0.0,53.98,0.0,4.32,58.3,delivered,False
O00000056,C000050,2023-07-29,2023-07-30,2023-08-01,email,,0.0,18.99,5.99,1.52,26.5,delivered,True
O00000057,C000051,2023-08-13,2023-08-14,2023-08-17,paid_search,,0.0,12.99,5.99,1.04,20.02,delivered,False
O00000058,C000052,2024-03-19,2024-03-20,2024-03-23,organic_search,WELCOME10,0.2,61.57,0.0,4.93,66.5,delivered,True
O00000059,C000054,2024-04-14,2024-04-15,2024-04-16,paid_social,SUMMER15,0.2,52.78,0.0,4.22,57.0,delivered,True
O00000060,C000054,2024-05-09,2024-05-10,2024-05-12,organic_search,WELCOME10,0.1,31.49,5.99,2.52,40.0,delivered,False
O00000061,C000057,2024-05-03,2024-05-04,2024-05-08,paid_search,LOYAL15,0.2,63.17,0.0,5.05,68.22,delivered,True
O00000062,C000058,2024-02-26,2024-02-27,2024-02-29,paid_search,,0.0,62.97,0.0,5.04,68.01,delivered,True
O00000063,C000059,2023-08-15,2023-08-16,2023-08-18,paid_social,WELCOME10,0.15,19.54,5.99,1.56,27.09,delivered,True
O00000064,C000060,2023-09-10,2023-09-11,2023-09-13,referral,SUMMER15,0.1,71.06,0.0,5.68,76.74,delivered,True
O00000065,C000064,2024-06-13,2024-06-14,2024-06-17,organic_search,,0.0,107.95,0.0,8.64,116.59,delivered,False
O00000066,C000066,2023-08-18,2023-08-19,2023-08-23,organic_search,,0.0,30.98,5.99,2.48,39.45,delivered,True
O00000067,C000068,2023-04-26,2023-04-27,2023-05-02,email,,0.0,21.99,5.99,1.76,29.74,delivered,True
O00000068,C000070,2023-09-08,2023-09-09,2023-09-11,paid_search,LOYAL15,0.1,24.29,5.99,1.94,32.22,delivered,True
O00000069,C000071,2023-09-30,2023-10-01,2023-10-04,paid_social,LOYAL15,0.2,38.37,5.99,3.07,47.43,delivered,True
O00000070,C000074,2024-01-01,2024-01-02,2024-01-04,email,,0.0,18.99,5.99,1.52,26.5,cancelled,True
O00000071,C000074,2024-01-05,2024-01-06,2024-01-10,email,,0.0,50.97,0.0,4.08,55.05,delivered,False
O00000072,C000074,2024-04-04,2024-04-05,2024-04-07,organic_search,,0.0,83.96,0.0,6.72,90.68,delivered,False
O00000073,C000075,2023-07-19,2023-07-20,2023-07-22,paid_search,,0.0,17.99,5.99,1.44,25.42,delivered,True
O00000074,C000075,2023-09-16,2023-09-17,2023-09-20,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,False
O00000075,C000076,2023-08-13,2023-08-14,2023-08-17,paid_search,,0.0,51.98,0.0,4.16,56.14,delivered,True
O00000076,C000077,2023-10-30,2023-10-31,2023-11-03,email,,0.2,18.39,5.99,1.47,25.85,delivered,True
O00000077,C000078,2023-12-05,2023-12-06,2023-12-08,paid_social,,0.0,61.98,0.0,4.96,66.94,delivered,True
O00000078,C000078,2024-01-09,2024-01-10,2024-01-12,organic_search,,0.0,121.96,0.0,9.76,131.72,delivered,False
O00000079,C000078,2024-01-23,2024-01-24,2024-01-27,paid_search,,0.0,108.97,0.0,8.72,117.69,delivered,False
O00000080,C000079,2023-12-23,2023-12-24,2023-12-26,email,LOYAL15,0.15,11.04,5.99,0.88,17.91,delivered,True
O00000081,C000080,2024-06-13,2024-06-14,2024-06-16,organic_search,BFCM20,0.1,86.35,0.0,6.91,93.26,delivered,True
O00000082,C000083,2023-07-23,2023-07-24,2023-07-28,email,,0.0,34.99,5.99,2.8,43.78,delivered,True
O00000083,C000085,2024-06-02,2024-06-03,2024-06-05,paid_social,,0.0,17.99,5.99,1.44,25.42,delivered,True
O00000084,C000086,2023-05-15,2023-05-16,2023-05-18,organic_social,,0.0,60.98,0.0,4.88,65.86,delivered,True
O00000085,C000087,2024-05-04,2024-05-05,2024-05-10,organic_search,,0.0,63.97,0.0,5.12,69.09,delivered,True
O00000086,C000088,2024-05-05,2024-05-06,2024-05-10,email,,0.0,67.97,0.0,5.44,73.41,delivered,True
O00000087,C000089,2024-04-03,2024-04-04,2024-04-08,paid_search,LOYAL15,0.2,17.59,5.99,1.41,24.99,delivered,True
O00000088,C000091,2023-03-23,2023-03-24,2023-03-28,referral,,0.0,34.99,5.99,2.8,43.78,delivered,True
O00000089,C000092,2023-09-19,2023-09-20,2023-09-22,organic_search,LOYAL15,0.15,108.75,0.0,8.7,117.45,delivered,True
O00000090,C000093,2023-06-16,2023-06-17,2023-06-20,paid_social,,0.0,79.97,0.0,6.4,86.37,delivered,True
O00000091,C000094,2024-02-14,2024-02-15,2024-02-17,direct,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000092,C000094,2024-03-19,2024-03-20,2024-03-23,direct,,0.0,17.99,5.99,1.44,25.42,delivered,False
O00000093,C000094,2024-05-13,2024-05-14,2024-05-16,direct,,0.0,71.96,0.0,5.76,77.72,delivered,False
O00000094,C000094,2024-06-06,2024-06-07,2024-06-11,paid_social,BFCM20,0.1,39.57,5.99,3.17,48.73,delivered,False
O00000095,C000095,2023-10-08,2023-10-09,2023-10-11,direct,,0.0,17.99,5.99,1.44,25.42,delivered,True
O00000096,C000096,2024-05-21,2024-05-22,2024-05-24,paid_social,,0.0,77.98,0.0,6.24,84.22,delivered,True
O00000097,C000096,2024-05-22,2024-05-23,2024-05-26,organic_search,,0.0,77.98,0.0,6.24,84.22,delivered,False
O00000098,C000097,2024-02-03,2024-02-04,2024-02-07,paid_search,,0.0,69.98,0.0,5.6,75.58,delivered,True
O00000099,C000098,2023-09-20,2023-09-21,2023-09-23,direct,,0.0,117.94,0.0,9.44,127.38,delivered,True
O00000100,C000098,2023-12-15,2023-12-16,2023-12-18,email,,0.0,75.97,0.0,6.08,82.05,delivered,False
O00000101,C000098,2023-12-31,2024-01-01,2024-01-03,paid_search,WELCOME10,0.2,15.19,5.99,1.22,22.4,delivered,False
O00000102,C000098,2024-01-01,2024-01-02,2024-01-05,direct,WELCOME10,0.2,10.39,5.99,0.83,17.21,delivered,False
O00000103,C000099,2023-02-04,2023-02-05,2023-02-07,organic_search,,0.0,21.99,5.99,1.76,29.74,delivered,True
O00000104,C000099,2023-06-03,2023-06-04,2023-06-07,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,False
O00000105,C000101,2023-02-19,2023-02-20,2023-02-21,organic_social,,0.0,26.99,5.99,2.16,35.14,delivered,True
O00000106,C000101,2023-02-25,2023-02-26,2023-02-28,direct,,0.0,12.99,5.99,1.04,20.02,delivered,False
O00000107,C000103,2023-10-07,2023-10-08,2023-10-10,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000108,C000104,2023-06-29,2023-06-30,2023-07-04,paid_social,,0.0,34.99,5.99,2.8,43.78,delivered,True
O00000109,C000105,2023-06-16,2023-06-17,2023-06-20,organic_social,,0.1,81.87,0.0,6.55,88.42,delivered,True
O00000110,C000105,2023-07-11,2023-07-12,2023-07-14,organic_search,,0.0,103.96,0.0,8.32,112.28,delivered,False
O00000111,C000105,2023-09-22,2023-09-23,2023-09-26,paid_social,,0.0,40.98,5.99,3.28,50.25,delivered,False
O00000112,C000105,2023-11-08,2023-11-09,2023-11-11,organic_search,,0.0,76.97,0.0,6.16,83.13,delivered,False
O00000113,C000105,2023-12-19,2023-12-20,2023-12-23,direct,,0.0,56.98,0.0,4.56,61.54,delivered,False
O00000114,C000105,2024-01-30,2024-01-31,2024-02-01,paid_search,,0.0,17.99,5.99,1.44,25.42,delivered,False
O00000115,C000105,2024-02-11,2024-02-12,2024-02-17,email,,0.0,88.97,0.0,7.12,96.09,delivered,False
O00000116,C000105,2024-04-09,2024-04-10,2024-04-12,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,False
O00000117,C000106,2023-11-30,2023-12-01,2023-12-05,organic_search,,0.0,65.98,0.0,5.28,71.26,delivered,True
O00000118,C000107,2023-12-05,2023-12-06,2023-12-08,organic_search,,0.0,155.96,0.0,12.48,168.44,delivered,True
O00000119,C000107,2024-01-16,2024-01-17,2024-01-19,organic_search,,0.0,154.95,0.0,12.4,167.35,delivered,False
O00000120,C000110,2023-11-29,2023-11-30,2023-12-05,organic_search,,0.0,17.99,5.99,1.44,25.42,delivered,True
O00000121,C000111,2023-10-28,2023-10-29,2023-10-31,organic_social,,0.0,18.99,5.99,1.52,26.5,delivered,True
O00000122,C000113,2024-01-11,2024-01-12,2024-01-16,paid_social,,0.1,109.74,0.0,8.78,118.52,delivered,True
O00000123,C000115,2023-08-19,2023-08-20,2023-08-23,referral,,0.0,65.97,0.0,5.28,71.25,delivered,True
O00000124,C000116,2023-12-29,2023-12-30,2024-01-04,paid_social,,0.0,38.99,5.99,3.12,48.1,delivered,True
O00000125,C000117,2024-04-08,2024-04-09,2024-04-12,referral,,0.0,34.99,5.99,2.8,43.78,delivered,True
O00000126,C000118,2023-02-04,2023-02-05,2023-02-07,paid_social,LOYAL15,0.1,24.29,5.99,1.94,32.22,delivered,True
O00000127,C000119,2024-01-30,2024-01-31,2024-02-04,organic_social,BFCM20,0.1,31.49,5.99,2.52,40.0,delivered,True
O00000128,C000121,2023-09-04,2023-09-05,2023-09-06,direct,WELCOME10,0.2,20.78,5.99,1.66,28.43,delivered,True
O00000129,C000121,2023-09-17,2023-09-18,2023-09-20,organic_social,,0.0,123.96,0.0,9.92,133.88,delivered,False
O00000130,C000121,2023-11-11,2023-11-12,2023-11-15,organic_search,,0.0,146.94,0.0,11.76,158.7,delivered,False
O00000131,C000121,2023-11-22,2023-11-23,2023-11-26,paid_social,,0.0,17.99,5.99,1.44,25.42,delivered,False
O00000132,C000121,2023-12-12,2023-12-13,2023-12-17,email,,0.0,12.99,5.99,1.04,20.02,delivered,False
O00000133,C000121,2023-12-14,2023-12-15,2023-12-18,organic_search,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000134,C000121,2023-12-15,2023-12-16,2023-12-18,email,,0.1,28.78,5.99,2.3,37.07,delivered,False
O00000135,C000122,2023-11-16,2023-11-17,2023-11-19,organic_search,,0.0,22.99,5.99,1.84,30.82,refunded,True
O00000136,C000122,2023-12-27,2023-12-28,2023-12-29,paid_search,,0.0,70.97,0.0,5.68,76.65,delivered,False
O00000137,C000122,2024-01-14,2024-01-15,2024-01-18,direct,SUMMER15,0.1,11.69,5.99,0.94,18.62,delivered,False
O00000138,C000122,2024-01-20,2024-01-21,2024-01-24,paid_search,,0.0,21.99,5.99,1.76,29.74,delivered,False
O00000139,C000122,2024-01-25,2024-01-26,2024-01-28,organic_search,SUMMER15,0.15,11.04,5.99,0.88,17.91,delivered,False
O00000140,C000122,2024-02-04,2024-02-05,2024-02-07,organic_search,,0.0,12.99,5.99,1.04,20.02,delivered,False
O00000141,C000123,2023-08-10,2023-08-11,2023-08-12,paid_social,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000142,C000124,2023-05-03,2023-05-04,2023-05-09,email,,0.0,21.99,5.99,1.76,29.74,delivered,True
O00000143,C000125,2023-03-01,2023-03-02,2023-03-04,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,False
O00000144,C000125,2023-04-03,2023-04-04,2023-04-09,direct,,0.15,35.68,5.99,2.85,44.52,delivered,False
O00000145,C000125,2023-04-22,2023-04-23,2023-04-26,email,,0.0,110.96,0.0,8.88,119.84,delivered,False
O00000146,C000125,2023-05-01,2023-05-02,2023-05-04,organic_search,SUMMER15,0.15,19.54,5.99,1.56,27.09,delivered,False
O00000147,C000128,2024-03-02,2024-03-03,2024-03-07,paid_search,,0.0,100.97,0.0,8.08,109.05,delivered,True
O00000148,C000129,2023-04-21,2023-04-22,2023-04-25,organic_search,,0.0,64.97,0.0,5.2,70.17,delivered,True
O00000149,C000130,2023-12-27,2023-12-28,2024-01-01,referral,,0.0,161.94,0.0,12.96,174.9,delivered,True
O00000150,C000131,2023-10-28,2023-10-29,2023-11-01,paid_social,LOYAL15,0.15,31.43,5.99,2.51,39.93,delivered,True
O00000151,C000132,2024-01-11,2024-01-12,2024-01-14,paid_social,,0.2,14.39,5.99,1.15,21.53,delivered,True
O00000152,C000134,2023-01-23,2023-01-24,2023-01-27,organic_search,,0.0,18.99,5.99,1.52,26.5,delivered,True
O00000153,C000135,2023-09-02,2023-09-03,2023-09-05,organic_search,LOYAL15,0.15,107.91,0.0,8.63,116.54,delivered,True
O00000154,C000136,2023-05-04,2023-05-05,2023-05-08,email,,0.0,51.98,0.0,4.16,56.14,refunded,True
O00000155,C000136,2023-05-10,2023-05-11,2023-05-13,paid_search,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000156,C000137,2024-04-04,2024-04-05,2024-04-08,paid_social,WELCOME10,0.2,102.36,0.0,8.19,110.55,delivered,True
O00000157,C000138,2023-03-18,2023-03-19,2023-03-20,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000158,C000139,2023-11-22,2023-11-23,2023-11-26,paid_social,,0.2,60.77,0.0,4.86,65.63,delivered,True
O00000159,C000139,2023-12-09,2023-12-10,2023-12-12,direct,,0.0,17.99,5.99,1.44,25.42,delivered,False
O00000160,C000139,2024-01-14,2024-01-15,2024-01-17,email,,0.0,47.98,0.0,3.84,51.82,delivered,False
O00000161,C000140,2024-04-06,2024-04-07,2024-04-09,paid_social,,0.15,33.14,5.99,2.65,41.78,delivered,True
O00000162,C000141,2024-06-11,2024-06-12,2024-06-14,paid_social,,0.0,45.98,0.0,3.68,49.66,delivered,True
O00000163,C000142,2024-01-13,2024-01-14,2024-01-16,paid_search,SUMMER15,0.2,62.38,0.0,4.99,67.37,delivered,True
O00000164,C000142,2024-01-15,2024-01-16,2024-01-20,email,,0.0,74.97,0.0,6.0,80.97,delivered,False
O00000165,C000142,2024-01-18,2024-01-19,2024-01-22,organic_social,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000166,C000143,2023-12-17,2023-12-18,2023-12-20,organic_search,,0.0,35.98,5.99,2.88,44.85,delivered,True
O00000167,C000145,2023-05-23,2023-05-24,2023-05-27,paid_social,,0.0,25.98,5.99,2.08,34.05,delivered,True
O00000168,C000146,2024-01-24,2024-01-25,2024-01-27,organic_search,,0.0,36.98,5.99,2.96,45.93,delivered,True
O00000169,C000147,2023-12-31,2024-01-01,2024-01-06,organic_search,,0.0,40.98,5.99,3.28,50.25,delivered,True
O00000170,C000150,2023-07-07,2023-07-08,2023-07-10,organic_social,,0.0,72.97,0.0,5.84,78.81,delivered,True
O00000171,C000150,2023-07-13,2023-07-14,2023-07-16,email,,0.0,53.98,0.0,4.32,58.3,delivered,False
O00000172,C000151,2024-03-29,2024-03-30,2024-04-02,direct,WELCOME10,0.15,15.29,5.99,1.22,22.5,delivered,True
O00000173,C000153,2024-02-20,2024-02-21,2024-02-24,paid_search,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000174,C000155,2023-09-03,2023-09-04,2023-09-07,paid_search,,0.0,37.98,5.99,3.04,47.01,delivered,True
O00000175,C000155,2023-09-06,2023-09-07,2023-09-11,direct,SUMMER15,0.1,52.17,0.0,4.17,56.34,delivered,False
O00000176,C000156,2023-03-04,2023-03-05,2023-03-10,email,,0.0,44.98,5.99,3.6,54.57,delivered,True
O00000177,C000156,2023-05-04,2023-05-05,2023-05-09,email,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000178,C000156,2023-05-17,2023-05-18,2023-05-20,email,,0.0,45.98,0.0,3.68,49.66,delivered,False
O00000179,C000157,2024-03-25,2024-03-26,2024-03-30,organic_search,,0.0,25.98,5.99,2.08,34.05,delivered,False
O00000180,C000157,2024-06-15,2024-06-16,2024-06-19,paid_search,,0.0,34.99,5.99,2.8,43.78,delivered,False
O00000181,C000160,2023-03-29,2023-03-30,2023-04-01,organic_search,BFCM20,0.2,45.58,0.0,3.65,49.23,delivered,True
O00000182,C000161,2023-10-19,2023-10-20,2023-10-23,organic_search,BFCM20,0.15,45.03,0.0,3.6,48.63,delivered,True
O00000183,C000162,2024-04-08,2024-04-09,2024-04-13,paid_search,,0.0,53.97,0.0,4.32,58.29,delivered,True
O00000184,C000163,2024-02-02,2024-02-03,2024-02-05,email,,0.0,45.98,0.0,3.68,49.66,delivered,False
O00000185,C000167,2024-01-01,2024-01-02,2024-01-06,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000186,C000169,2023-03-14,2023-03-15,2023-03-20,direct,,0.0,49.98,0.0,4.0,53.98,delivered,True
O00000187,C000170,2024-01-24,2024-01-25,2024-01-28,organic_social,,0.0,138.96,0.0,11.12,150.08,refunded,True
O00000188,C000172,2024-05-01,2024-05-02,2024-05-05,paid_search,,0.0,12.99,5.99,1.04,20.02,delivered,True
O00000189,C000174,2024-06-09,2024-06-10,2024-06-14,paid_social,,0.0,34.99,5.99,2.8,43.78,delivered,True
O00000190,C000175,2023-09-12,2023-09-13,2023-09-17,organic_social,,0.0,21.99,5.99,1.76,29.74,delivered,False
O00000191,C000176,2024-04-18,2024-04-19,2024-04-21,email,,0.0,31.98,5.99,2.56,40.53,delivered,True
O00000192,C000176,2024-04-21,2024-04-22,2024-04-25,paid_social,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000193,C000177,2023-04-15,2023-04-16,2023-04-18,paid_social,,0.0,38.99,5.99,3.12,48.1,delivered,True
O00000194,C000177,2023-05-04,2023-05-05,2023-05-08,direct,,0.0,45.98,0.0,3.68,49.66,delivered,False
O00000195,C000178,2024-04-16,2024-04-17,2024-04-19,direct,,0.0,57.98,0.0,4.64,62.62,delivered,False
O00000196,C000178,2024-04-17,2024-04-18,2024-04-23,paid_social,,0.0,81.96,0.0,6.56,88.52,delivered,False
O00000197,C000179,2023-06-09,2023-06-10,2023-06-12,paid_search,,0.0,26.99,5.99,2.16,35.14,delivered,True
O00000198,C000180,2023-11-22,2023-11-23,2023-11-27,organic_search,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000199,C000181,2023-11-12,2023-11-13,2023-11-16,organic_social,,0.0,47.98,0.0,3.84,51.82,delivered,True
O00000200,C000183,2024-01-02,2024-01-03,2024-01-05,referral,,0.0,36.98,5.99,2.96,45.93,delivered,True
O00000201,C000184,2023-07-06,2023-07-07,2023-07-12,organic_social,,0.0,45.98,0.0,3.68,49.66,delivered,True
O00000202,C000184,2023-10-29,2023-10-30,2023-10-31,direct,,0.0,78.97,0.0,6.32,85.29,delivered,False
O00000203,C000184,2023-10-30,2023-10-31,2023-11-03,email,,0.0,63.97,0.0,5.12,69.09,delivered,False
O00000204,C000185,2024-01-14,2024-01-15,2024-01-17,organic_search,,0.1,48.58,0.0,3.89,52.47,delivered,True
O00000205,C000185,2024-03-31,2024-04-01,2024-04-03,direct,,0.0,35.98,5.99,2.88,44.85,delivered,False
O00000206,C000185,2024-04-26,2024-04-27,2024-05-02,paid_search,,0.0,53.98,0.0,4.32,58.3,delivered,False
O00000207,C000187,2023-07-31,2023-08-01,2023-08-03,direct,BFCM20,0.15,52.68,0.0,4.21,56.89,delivered,True
O00000208,C000187,2023-09-03,2023-09-04,2023-09-08,email,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000209,C000187,2023-10-14,2023-10-15,2023-10-17,direct,,0.0,37.98,5.99,3.04,47.01,delivered,False
O00000210,C000187,2023-11-04,2023-11-05,2023-11-10,email,,0.0,109.96,0.0,8.8,118.76,delivered,False
O00000211,C000187,2023-12-08,2023-12-09,2023-12-14,email,,0.0,41.98,5.99,3.36,51.33,delivered,False
O00000212,C000187,2024-01-07,2024-01-08,2024-01-12,direct,WELCOME10,0.2,27.99,5.99,2.24,36.22,delivered,False
O00000213,C000188,2023-08-30,2023-08-31,2023-09-03,direct,,0.0,26.99,5.99,2.16,35.14,delivered,False
O00000214,C000188,2023-12-13,2023-12-14,2023-12-16,organic_search,,0.0,34.99,5.99,2.8,43.78,delivered,False
O00000215,C000189,2023-11-28,2023-11-29,2023-11-30,paid_social,,0.0,37.98,5.99,3.04,47.01,delivered,True
O00000216,C000189,2023-12-31,2024-01-01,2024-01-02,organic_social,,0.0,83.97,0.0,6.72,90.69,delivered,False
O00000217,C000189,2024-01-11,2024-01-12,2024-01-14,organic_search,,0.0,18.99,5.99,1.52,26.5,delivered,False
O00000218,C000190,2024-01-02,2024-01-03,2024-01-05,organic_search,,0.0,26.99,5.99,2.16,35.14,delivered,True
O00000219,C000191,2024-04-01,2024-04-02,2024-04-04,referral,,0.2,32.78,5.99,2.62,41.39,delivered,True
O00000220,C000192,2024-06-27,2024-06-28,2024-07-01,organic_search,,0.0,106.96,0.0,8.56,115.52,delivered,True
O00000221,C000193,2023-12-28,2023-12-29,2023-12-31,paid_social,,0.0,22.99,5.99,1.84,30.82,delivered,True
O00000222,C000193,2024-01-23,2024-01-24,2024-01-26,direct,,0.0,113.96,0.0,9.12,123.08,delivered,False
