spend_id,date,platform,campaign_id,campaign_name,impressions,clicks,ctr,spend,conversions,conversion_value,roas
AD00000050,2023-01-08,google_ads,GS001,Brand Keywords,263,13,0.0494,18.96,0,0.0,0.0
AD00000051,2023-01-08,google_ads,GS002,Coffee Subscription,838,28,0.0334,15.71,1,43.26,2.75
AD00000052,2023-01-08,google_ads,GS003,Competitor Conquesting,757,26,0.0343,19.04,1,35.65,1.87
AD00000053,2023-01-08,meta_ads,FB001,Prospecting — Interest,2771,51,0.0186,26.63,1,29.7,1.12
AD00000054,2023-01-08,meta_ads,FB002,Retargeting — Site Visitors,2340,54,0.0234,26.4,1,37.49,1.42
AD00000055,2023-01-08,meta_ads,FB003,LAL — Top Customers,1146,22,0.02,22.39,0,0.0,0.0
AD00000056,2023-01-08,meta_ads,IG001,Instagram — Story Ads,1307,19,0.0149,20.26,0,0.0,0.0
AD00000057,2023-01-09,google_ads,GS001,Brand Keywords,627,30,0.0478,26.13,1,51.07,1.95
AD00000058,2023-01-09,google_ads,GS002,Coffee Subscription,213,11,0.0516,24.95,0,0.0,0.0
AD00000059,2023-01-09,google_ads,GS003,Competitor Conquesting,420,23,0.0548,27.83,1,49.13,1.77
AD00000060,2023-01-09,meta_ads,FB001,Prospecting — Interest,734,13,0.0188,15.33,0,0.0,0.0
AD00000061,2023-01-09,meta_ads,FB002,Retargeting — Site Visitors,1666,30,0.0181,19.6,0,0.0,0.0
AD00000062,2023-01-09,meta_ads,FB003,LAL — Top Customers,1220,10,0.0087,23.39,0,0.0,0.0
AD00000063,2023-01-09,meta_ads,IG001,Instagram — Story Ads,1270,21,0.0173,20.37,0,0.0,0.0
AD00000064,2023-01-10,google_ads,GS001,Brand Keywords,427,14,0.0328,19.03,0,0.0,0.0
AD00000065,2023-01-10,google_ads,GS002,Coffee Subscription,287,14,0.0488,14.52,0,0.0,0.0
AD00000066,2023-01-10,google_ads,GS003,Competitor Conquesting,269,11,0.0409,19.51,0,0.0,0.0
AD00000067,2023-01-10,meta_ads,FB001,Prospecting — Interest,1125,23,0.021,22.7,0,0.0,0.0
AD00000068,2023-01-10,meta_ads,FB002,Retargeting — Site Visitors,1533,24,0.0161,17.79,0,0.0,0.0
AD00000069,2023-01-10,meta_ads,FB003,LAL — Top Customers,1705,30,0.0177,26.85,0,0.0,0.0
AD00000070,2023-01-10,meta_ads,IG001,Instagram — Story Ads,1434,27,0.019,27.21,0,0.0,0.0
AD00000071,2023-01-11,google_ads,GS001,Brand Keywords,279,10,0.0358,16.51,0,0.0,0.0
AD00000072,2023-01-11,google_ads,GS002,Coffee Subscription,332,17,0.0512,22.3,0,0.0,0.0
AD00000073,2023-01-11,google_ads,GS003,Competitor Conquesting,672,22,0.0327,17.6,1,35.57,2.02
AD00000074,2023-01-11,meta_ads,FB001,Prospecting — Interest,731,12,0.0172,13.98,0,0.0,0.0
AD00000075,2023-01-11,meta_ads,FB002,Retargeting — Site Visitors,1843,30,0.0168,18.69,0,0.0,0.0
AD00000076,2023-01-11,meta_ads,FB003,LAL — Top Customers,1464,20,0.0138,19.14,0,0.0,0.0
AD00000077,2023-01-11,meta_ads,IG001,Instagram — Story Ads,740,14,0.019,14.94,0,0.0,0.0
AD00000078,2023-01-12,google_ads,GS001,Brand Keywords,888,44,0.0495,27.57,2,83.37,3.02
AD00000079,2023-01-12,google_ads,GS002,Coffee Subscription,526,25,0.0475,21.68,0,0.0,0.0
AD00000080,2023-01-12,google_ads,GS003,Competitor Conquesting,358,12,0.0335,21.01,0,0.0,0.0
AD00000081,2023-01-12,meta_ads,FB001,Prospecting — Interest,1433,22,0.0158,28.46,0,0.0,0.0
AD00000082,2023-01-12,meta_ads,FB002,Retargeting — Site Visitors,3360,53,0.0158,28.56,1,28.72,1.01
AD00000083,2023-01-12,meta_ads,FB003,LAL — Top Customers,983,13,0.0134,17.07,0,0.0,0.0
AD00000084,2023-01-12,meta_ads,IG001,Instagram — Story Ads,1471,19,0.0131,22.95,0,0.0,0.0
AD00000085,2023-01-13,google_ads,GS001,Brand Keywords,568,26,0.0458,22.07,1,44.39,2.01
AD00000086,2023-01-13,google_ads,GS002,Coffee Subscription,574,34,0.0592,25.17,2,74.79,2.97
AD00000087,2023-01-13,google_ads,GS003,Competitor Conquesting,207,9,0.0435,18.65,0,0.0,0.0
AD00000088,2023-01-13,meta_ads,FB001,Prospecting — Interest,1954,32,0.0164,20.39,0,0.0,0.0
AD00000089,2023-01-13,meta_ads,FB002,Retargeting — Site Visitors,765,8,0.0117,16.66,0,0.0,0.0
AD00000090,2023-01-13,meta_ads,FB003,LAL — Top Customers,1977,30,0.0154,27.98,0,0.0,0.0
AD00000091,2023-01-13,meta_ads,IG001,Instagram — Story Ads,1661,21,0.0128,23.87,0,0.0,0.0
AD00000092,2023-01-14,google_ads,GS001,Brand Keywords,182,10,0.0549,16.2,0,0.0,0.0
AD00000093,2023-01-14,google_ads,GS002,Coffee Subscription,548,18,0.0328,26.08,0,0.0,0.0
AD00000094,2023-01-14,google_ads,GS003,Competitor Conquesting,209,12,0.0574,19.24,0,0.0,0.0
AD00000095,2023-01-14,meta_ads,FB001,Prospecting — Interest,965,22,0.0233,18.66,0,0.0,0.0
AD00000096,2023-01-14,meta_ads,FB002,Retargeting — Site Visitors,2239,52,0.0233,23.49,1,31.6,1.35
AD00000097,2023-01-14,meta_ads,FB003,LAL — Top Customers,1961,28,0.0145,25.52,0,0.0,0.0
AD00000098,2023-01-14,meta_ads,IG001,Instagram — Story Ads,2183,22,0.0102,23.12,0,0.0,0.0
AD00000099,2023-01-15,google_ads,GS001,Brand Keywords,415,24,0.0578,30.04,1,28.67,0.95
AD00000100,2023-01-15,google_ads,GS002,Coffee Subscription,544,19,0.0349,22.21,0,0.0,0.0
AD00000101,2023-01-15,google_ads,GS003,Competitor Conquesting,222,8,0.036,17.22,0,0.0,0.0
AD00000102,2023-01-15,meta_ads,FB001,Prospecting — Interest,910,8,0.0092,19.83,0,0.0,0.0
AD00000103,2023-01-15,meta_ads,FB002,Retargeting — Site Visitors,1792,22,0.0127,27.96,0,0.0,0.0
AD00000104,2023-01-15,meta_ads,FB003,LAL — Top Customers,1270,19,0.0155,22.56,0,0.0,0.0
AD00000105,2023-01-15,meta_ads,IG001,Instagram — Story Ads,1582,32,0.0208,30.98,0,0.0,0.0
AD00000106,2023-01-16,google_ads,GS001,Brand Keywords,540,29,0.0537,25.23,2,102.75,4.07
AD00000107,2023-01-16,google_ads,GS002,Coffee Subscription,320,15,0.0469,21.08,0,0.0,0.0
AD00000108,2023-01-16,google_ads,GS003,Competitor Conquesting,478,17,0.0356,26.35,1,31.11,1.18
AD00000109,2023-01-16,meta_ads,FB001,Prospecting — Interest,1739,22,0.013,27.29,0,0.0,0.0
AD00000110,2023-01-16,meta_ads,FB002,Retargeting — Site Visitors,1635,28,0.0174,22.81,0,0.0,0.0
AD00000111,2023-01-16,meta_ads,FB003,LAL — Top Customers,1221,26,0.0214,20.55,0,0.0,0.0
AD00000112,2023-01-16,meta_ads,IG001,Instagram — Story Ads,906,13,0.0152,15.4,0,0.0,0.0
AD00000113,2023-01-17,google_ads,GS001,Brand Keywords,383,16,0.0418,16.98,0,0.0,0.0
AD00000114,2023-01-17,google_ads,GS002,Coffee Subscription,311,17,0.0547,18.08,1,53.11,2.94
AD00000115,2023-01-17,google_ads,GS003,Competitor Conquesting,391,16,0.0409,26.91,0,0.0,0.0
AD00000116,2023-01-17,meta_ads,FB001,Prospecting — Interest,1108,14,0.0129,21.68,0,0.0,0.0
AD00000117,2023-01-17,meta_ads,FB002,Retargeting — Site Visitors,1002,24,0.0246,21.69,0,0.0,0.0
AD00000118,2023-01-17,meta_ads,FB003,LAL — Top Customers,1857,42,0.0229,25.22,1,34.85,1.38
AD00000119,2023-01-17,meta_ads,IG001,Instagram — Story Ads,862,18,0.0213,13.94,0,0.0,0.0
AD00000120,2023-01-18,google_ads,GS001,Brand Keywords,146,8,0.0548,19.26,0,0.0,0.0
AD00000121,2023-01-18,google_ads,GS002,Coffee Subscription,327,12,0.0367,21.6,0,0.0,0.0
AD00000122,2023-01-18,google_ads,GS003,Competitor Conquesting,835,27,0.0323,23.11,1,33.69,1.46
AD00000123,2023-01-18,meta_ads,FB001,Prospecting — Interest,1116,25,0.0231,16.49,0,0.0,0.0
AD00000124,2023-01-18,meta_ads,FB002,Retargeting — Site Visitors,2183,44,0.0203,21.97,1,34.02,1.55
AD00000125,2023-01-18,meta_ads,FB003,LAL — Top Customers,1364,15,0.0115,17.79,0,0.0,0.0
AD00000126,2023-01-18,meta_ads,IG001,Instagram — Story Ads,2876,29,0.0101,28.1,1,43.83,1.56
AD00000127,2023-01-19,google_ads,GS001,Brand Keywords,199,10,0.0503,18.94,0,0.0,0.0
AD00000128,2023-01-19,google_ads,GS002,Coffee Subscription,329,17,0.0517,16.41,0,0.0,0.0
AD00000129,2023-01-19,google_ads,GS003,Competitor Conquesting,272,16,0.0588,28.67,0,0.0,0.0
AD00000130,2023-01-19,meta_ads,FB001,Prospecting — Interest,1063,22,0.0212,23.31,0,0.0,0.0
AD00000131,2023-01-19,meta_ads,FB002,Retargeting — Site Visitors,1522,24,0.0163,21.72,0,0.0,0.0
AD00000132,2023-01-19,meta_ads,FB003,LAL — Top Customers,2991,38,0.013,28.6,1,44.87,1.57
AD00000133,2023-01-19,meta_ads,IG001,Instagram — Story Ads,1308,24,0.0184,16.04,0,0.0,0.0
AD00000134,2023-01-20,google_ads,GS001,Brand Keywords,205,8,0.039,16.02,0,0.0,0.0
AD00000135,2023-01-20,google_ads,GS002,Coffee Subscription,495,24,0.0485,19.84,0,0.0,0.0
AD00000136,2023-01-20,google_ads,GS003,Competitor Conquesting,300,16,0.0533,20.26,0,0.0,0.0
AD00000137,2023-01-20,meta_ads,FB001,Prospecting — Interest,836,15,0.018,16.54,0,0.0,0.0
AD00000138,2023-01-20,meta_ads,FB002,Retargeting — Site Visitors,1443,32,0.0224,23.56,0,0.0,0.0
AD00000139,2023-01-20,meta_ads,FB003,LAL — Top Customers,2182,46,0.0213,27.06,1,46.2,1.71
AD00000140,2023-01-20,meta_ads,IG001,Instagram — Story Ads,1423,27,0.0193,26.81,0,0.0,0.0
AD00000141,2023-01-21,google_ads,GS001,Brand Keywords,182,7,0.0385,15.83,0,0.0,0.0
AD00000142,2023-01-21,google_ads,GS002,Coffee Subscription,563,17,0.0302,16.54,1,42.03,2.54
AD00000143,2023-01-21,google_ads,GS003,Competitor Conquesting,793,28,0.0353,21.61,1,41.82,1.94
AD00000144,2023-01-21,meta_ads,FB001,Prospecting — Interest,2366,21,0.009,32.0,0,0.0,0.0
AD00000145,2023-01-21,meta_ads,FB002,Retargeting — Site Visitors,1440,24,0.0167,20.56,0,0.0,0.0
AD00000146,2023-01-21,meta_ads,FB003,LAL — Top Customers,1062,13,0.0129,17.28,0,0.0,0.0
AD00000147,2023-01-21,meta_ads,IG001,Instagram — Story Ads,1745,41,0.0235,31.22,1,48.66,1.56
AD00000148,2023-01-22,google_ads,GS001,Brand Keywords,286,14,0.049,17.72,0,0.0,0.0
AD00000149,2023-01-22,google_ads,GS002,Coffee Subscription,946,53,0.056,31.12,2,82.13,2.64
AD00000150,2023-01-22,google_ads,GS003,Competitor Conquesting,329,15,0.0456,25.66,0,0.0,0.0
AD00000151,2023-01-22,meta_ads,FB001,Prospecting — Interest,1658,36,0.0222,26.61,0,0.0,0.0
AD00000152,2023-01-22,meta_ads,FB002,Retargeting — Site Visitors,1960,32,0.0167,23.63,0,0.0,0.0
AD00000153,2023-01-22,meta_ads,FB003,LAL — Top Customers,1299,24,0.0188,22.64,0,0.0,0.0
AD00000154,2023-01-22,meta_ads,IG001,Instagram — Story Ads,3062,53,0.0174,27.93,1,44.4,1.59
AD00000155,2023-01-23,google_ads,GS001,Brand Keywords,314,14,0.0446,26.83,0,0.0,0.0
AD00000156,2023-01-23,google_ads,GS002,Coffee Subscription,291,16,0.055,27.18,1,42.0,1.55
AD00000157,2023-01-23,google_ads,GS003,Competitor Conquesting,455,19,0.0418,23.45,0,0.0,0.0
AD00000158,2023-01-23,meta_ads,FB001,Prospecting — Interest,1686,19,0.0113,17.17,0,0.0,0.0
AD00000159,2023-01-23,meta_ads,FB002,Retargeting — Site Visitors,1669,35,0.0212,28.53,0,0.0,0.0
AD00000160,2023-01-23,meta_ads,FB003,LAL — Top Customers,1257,29,0.0237,20.32,1,38.36,1.89
AD00000161,2023-01-23,meta_ads,IG001,Instagram — Story Ads,1578,34,0.0221,15.04,1,42.99,2.86
AD00000162,2023-01-24,google_ads,GS001,Brand Keywords,307,16,0.0521,16.41,1,33.09,2.02
AD00000163,2023-01-24,google_ads,GS002,Coffee Subscription,320,14,0.0437,20.07,1,37.54,1.87
AD00000164,2023-01-24,google_ads,GS003,Competitor Conquesting,660,31,0.047,18.72,1,35.94,1.92
AD00000165,2023-01-24,meta_ads,FB001,Prospecting — Interest,988,9,0.0098,18.68,0,0.0,0.0
AD00000166,2023-01-24,meta_ads,FB002,Retargeting — Site Visitors,1229,15,0.0126,26.93,0,0.0,0.0
AD00000167,2023-01-24,meta_ads,FB003,LAL — Top Customers,1215,16,0.0135,16.86,0,0.0,0.0
AD00000168,2023-01-24,meta_ads,IG001,Instagram — Story Ads,1431,19,0.0137,24.76,0,0.0,0.0
AD00000169,2023-01-25,google_ads,GS001,Brand Keywords,612,29,0.0474,18.87,1,45.87,2.43
AD00000170,2023-01-25,google_ads,GS002,Coffee Subscription,517,21,0.0406,18.41,0,0.0,0.0
AD00000171,2023-01-25,google_ads,GS003,Competitor Conquesting,382,16,0.0419,18.13,0,0.0,0.0
AD00000172,2023-01-25,meta_ads,FB001,Prospecting — Interest,982,17,0.0181,19.46,0,0.0,0.0
AD00000173,2023-01-25,meta_ads,FB002,Retargeting — Site Visitors,1220,25,0.0211,24.33,0,0.0,0.0
AD00000174,2023-01-25,meta_ads,FB003,LAL — Top Customers,1269,28,0.0226,16.67,0,0.0,0.0
AD00000175,2023-01-25,meta_ads,IG001,Instagram — Story Ads,1353,12,0.0095,17.06,0,0.0,0.0
AD00000176,2023-01-26,google_ads,GS001,Brand Keywords,317,16,0.0505,28.08,0,0.0,0.0
AD00000177,2023-01-26,google_ads,GS002,Coffee Subscription,391,21,0.0537,19.39,1,30.94,1.6
AD00000178,2023-01-26,google_ads,GS003,Competitor Conquesting,159,8,0.0503,18.31,0,0.0,0.0
AD00000179,2023-01-26,meta_ads,FB001,Prospecting — Interest,2695,35,0.0132,27.95,0,0.0,0.0
AD00000180,2023-01-26,meta_ads,FB002,Retargeting — Site Visitors,1206,12,0.0103,16.3,0,0.0,0.0
AD00000181,2023-01-26,meta_ads,FB003,LAL — Top Customers,3227,39,0.0122,27.01,1,37.65,1.39
AD00000182,2023-01-26,meta_ads,IG001,Instagram — Story Ads,2100,21,0.0104,22.77,0,0.0,0.0
AD00000183,2023-01-27,google_ads,GS001,Brand Keywords,566,32,0.0565,24.07,1,34.36,1.43
AD00000184,2023-01-27,google_ads,GS002,Coffee Subscription,244,12,0.0492,27.83,0,0.0,0.0
AD00000185,2023-01-27,google_ads,GS003,Competitor Conquesting,334,17,0.0509,18.9,0,0.0,0.0
AD00000186,2023-01-27,meta_ads,FB001,Prospecting — Interest,1575,35,0.0225,26.9,0,0.0,0.0
AD00000187,2023-01-27,meta_ads,FB002,Retargeting — Site Visitors,848,12,0.0147,15.78,0,0.0,0.0
AD00000188,2023-01-27,meta_ads,FB003,LAL — Top Customers,1367,13,0.0099,29.72,0,0.0,0.0
AD00000189,2023-01-27,meta_ads,IG001,Instagram — Story Ads,1064,12,0.0115,19.99,0,0.0,0.0
AD00000190,2023-01-28,google_ads,GS001,Brand Keywords,680,21,0.0309,31.59,0,0.0,0.0
AD00000191,2023-01-28,google_ads,GS002,Coffee Subscription,408,24,0.0588,31.7,1,31.68,1.0
AD00000192,2023-01-28,google_ads,GS003,Competitor Conquesting,309,16,0.0518,28.04,0,0.0,0.0
AD00000193,2023-01-28,meta_ads,FB001,Prospecting — Interest,1000,13,0.0131,15.47,0,0.0,0.0
AD00000194,2023-01-28,meta_ads,FB002,Retargeting — Site Visitors,998,10,0.0106,20.86,0,0.0,0.0
AD00000195,2023-01-28,meta_ads,FB003,LAL — Top Customers,1946,31,0.0164,25.58,1,43.46,1.7
AD00000196,2023-01-28,meta_ads,IG001,Instagram — Story Ads,860,19,0.0221,16.47,0,0.0,0.0
AD00000197,2023-01-29,google_ads,GS001,Brand Keywords,562,19,0.0338,23.32,1,47.18,2.02
AD00000198,2023-01-29,google_ads,GS002,Coffee Subscription,322,16,0.0497,20.95,1,45.22,2.16
AD00000199,2023-01-29,google_ads,GS003,Competitor Conquesting,392,19,0.0485,25.57,0,0.0,0.0
AD00000200,2023-01-29,meta_ads,FB001,Prospecting — Interest,1934,16,0.0086,30.64,0,0.0,0.0
AD00000201,2023-01-29,meta_ads,FB002,Retargeting — Site Visitors,2268,26,0.0117,28.52,0,0.0,0.0
AD00000202,2023-01-29,meta_ads,FB003,LAL — Top Customers,2111,28,0.0136,20.1,0,0.0,0.0
AD00000203,2023-01-29,meta_ads,IG001,Instagram — Story Ads,1661,14,0.0086,31.96,0,0.0,0.0
AD00000204,2023-01-30,google_ads,GS001,Brand Keywords,885,33,0.0373,24.45,1,41.33,1.69
AD00000205,2023-01-30,google_ads,GS002,Coffee Subscription,387,23,0.0594,17.27,1,28.85,1.67
AD00000206,2023-01-30,google_ads,GS003,Competitor Conquesting,192,8,0.0417,15.74,0,0.0,0.0
AD00000207,2023-01-30,meta_ads,FB001,Prospecting — Interest,1429,31,0.0219,26.11,0,0.0,0.0
AD00000208,2023-01-30,meta_ads,FB002,Retargeting — Site Visitors,2473,32,0.0132,21.54,0,0.0,0.0
AD00000209,2023-01-30,meta_ads,FB003,LAL — Top Customers,1796,32,0.0179,25.42,1,37.55,1.48
AD00000210,2023-01-30,meta_ads,IG001,Instagram — Story Ads,1080,23,0.0219,19.76,0,0.0,0.0
AD00000211,2023-01-31,google_ads,GS001,Brand Keywords,210,10,0.0476,17.3,0,0.0,0.0
AD00000212,2023-01-31,google_ads,GS002,Coffee Subscription,505,18,0.0356,26.47,1,33.67,1.27
AD00000213,2023-01-31,google_ads,GS003,Competitor Conquesting,341,14,0.0411,25.63,0,0.0,0.0
AD00000214,2023-01-31,meta_ads,FB001,Prospecting — Interest,1299,15,0.0118,15.54,0,0.0,0.0
AD00000215,2023-01-31,meta_ads,FB002,Retargeting — Site Visitors,3083,53,0.0175,26.3,2,60.92,2.32
AD00000216,2023-01-31,meta_ads,FB003,LAL — Top Customers,2815,69,0.0246,24.89,2,95.98,3.86
AD00000217,2023-01-31,meta_ads,IG001,Instagram — Story Ads,1172,13,0.0117,22.38,0,0.0,0.0
AD00000218,2023-02-01,google_ads,GS001,Brand Keywords,250,13,0.052,17.79,0,0.0,0.0
AD00000219,2023-02-01,google_ads,GS002,Coffee Subscription,205,9,0.0439,18.88,0,0.0,0.0
AD00000220,2023-02-01,google_ads,GS003,Competitor Conquesting,960,49,0.051,27.98,1,44.64,1.6
AD00000221,2023-02-01,meta_ads,FB001,Prospecting — Interest,956,11,0.0123,19.71,0,0.0,0.0
AD00000222,2023-02-01,meta_ads,FB002,Retargeting — Site Visitors,1579,28,0.0179,24.59,0,0.0,0.0
AD00000223,2023-02-01,meta_ads,FB003,LAL — Top Customers,1208,18,0.0156,14.84,0,0.0,0.0
AD00000224,2023-02-01,meta_ads,IG001,Instagram — Story Ads,1115,25,0.0228,19.78,0,0.0,0.0
AD00000225,2023-02-02,google_ads,GS001,Brand Keywords,487,25,0.0513,24.52,1,38.45,1.57
AD00000226,2023-02-02,google_ads,GS002,Coffee Subscription,309,13,0.0421,24.24,0,0.0,0.0
AD00000227,2023-02-02,google_ads,GS003,Competitor Conquesting,682,29,0.0425,27.78,1,40.87,1.47
AD00000228,2023-02-02,meta_ads,FB001,Prospecting — Interest,913,19,0.0212,17.04,0,0.0,0.0
AD00000229,2023-02-02,meta_ads,FB002,Retargeting — Site Visitors,1234,11,0.009,18.65,0,0.0,0.0
AD00000230,2023-02-02,meta_ads,FB003,LAL — Top Customers,1529,29,0.0195,24.93,0,0.0,0.0
AD00000231,2023-02-02,meta_ads,IG001,Instagram — Story Ads,1656,18,0.0113,16.42,0,0.0,0.0
AD00000232,2023-02-03,google_ads,GS001,Brand Keywords,208,7,0.0337,15.68,0,0.0,0.0
AD00000233,2023-02-03,google_ads,GS002,Coffee Subscription,228,10,0.0439,16.51,0,0.0,0.0
AD00000234,2023-02-03,google_ads,GS003,Competitor Conquesting,222,7,0.0315,15.36,0,0.0,0.0
AD00000235,2023-02-03,meta_ads,FB001,Prospecting — Interest,1607,40,0.0249,17.91,0,0.0,0.0
AD00000236,2023-02-03,meta_ads,FB002,Retargeting — Site Visitors,1829,26,0.0146,24.37,0,0.0,0.0
AD00000237,2023-02-03,meta_ads,FB003,LAL — Top Customers,1983,28,0.0144,29.59,0,0.0,0.0
AD00000238,2023-02-03,meta_ads,IG001,Instagram — Story Ads,1379,16,0.0119,24.53,0,0.0,0.0
AD00000239,2023-02-04,google_ads,GS001,Brand Keywords,386,18,0.0466,18.54,1,50.5,2.72
AD00000240,2023-02-04,google_ads,GS002,Coffee Subscription,537,17,0.0317,24.72,0,0.0,0.0
AD00000241,2023-02-04,google_ads,GS003,Competitor Conquesting,160,9,0.0563,17.62,0,0.0,0.0
AD00000242,2023-02-04,meta_ads,FB001,Prospecting — Interest,2443,56,0.0233,23.73,1,37.38,1.58
AD00000243,2023-02-04,meta_ads,FB002,Retargeting — Site Visitors,1114,25,0.0229,23.57,0,0.0,0.0
AD00000244,2023-02-04,meta_ads,FB003,LAL — Top Customers,1351,23,0.0174,27.78,0,0.0,0.0
AD00000245,2023-02-04,meta_ads,IG001,Instagram — Story Ads,1858,41,0.0223,20.78,0,0.0,0.0
AD00000246,2023-02-05,google_ads,GS001,Brand Keywords,196,11,0.0561,23.56,0,0.0,0.0
AD00000247,2023-02-05,google_ads,GS002,Coffee Subscription,239,14,0.0586,19.24,0,0.0,0.0
