item_id,order_id,customer_id,product_id,product_name,category,quantity,unit_price,discount_pct,line_total,cogs
OI00000042,O00000024,C000019,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000043,O00000024,C000019,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000044,O00000025,C000020,P001,Morning Ritual Blend,whole_bean,2,18.99,0.0,37.98,13.0
OI00000045,O00000026,C000022,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000046,O00000026,C000022,P001,Morning Ritual Blend,whole_bean,2,18.99,0.0,37.98,13.0
OI00000047,O00000026,C000022,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000048,O00000027,C000023,P003,Single Origin Ethiopia,whole_bean,2,26.99,0.0,53.98,19.6
OI00000049,O00000027,C000023,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000050,O00000028,C000024,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000051,O00000029,C000025,P001,Morning Ritual Blend,whole_bean,3,18.99,0.0,56.97,19.5
OI00000052,O00000029,C000025,P001,Morning Ritual Blend,whole_bean,2,18.99,0.0,37.98,13.0
OI00000053,O00000029,C000025,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000054,O00000030,C000025,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000055,O00000030,C000025,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000056,O00000030,C000025,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000057,O00000030,C000025,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000058,O00000031,C000026,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000059,O00000031,C000026,P001,Morning Ritual Blend,whole_bean,3,18.99,0.0,56.97,19.5
OI00000060,O00000032,C000027,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000061,O00000033,C000027,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000062,O00000033,C000027,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000063,O00000034,C000028,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.1,35.09,13.5
OI00000064,O00000034,C000028,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000065,O00000035,C000028,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000066,O00000035,C000028,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000067,O00000036,C000029,P008,Reusable Brew Bag,equipment,3,12.99,0.15,33.12,9.6
OI00000068,O00000037,C000029,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000069,O00000038,C000030,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000070,O00000039,C000032,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000071,O00000040,C000033,P004,Cold Brew Starter Kit,equipment,2,34.99,0.1,62.98,24.0
OI00000072,O00000041,C000034,P002,Dark Roast Espresso,whole_bean,1,21.99,0.2,17.59,7.2
OI00000073,O00000041,C000034,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.2,31.19,13.5
OI00000074,O00000042,C000035,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000075,O00000043,C000037,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000076,O00000043,C000037,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000077,O00000043,C000037,P001,Morning Ritual Blend,whole_bean,3,18.99,0.0,56.97,19.5
OI00000078,O00000044,C000038,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000079,O00000044,C000038,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000080,O00000045,C000039,P003,Single Origin Ethiopia,whole_bean,2,26.99,0.0,53.98,19.6
OI00000081,O00000045,C000039,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000082,O00000046,C000040,P004,Cold Brew Starter Kit,equipment,1,34.99,0.2,27.99,12.0
OI00000083,O00000047,C000041,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000084,O00000048,C000046,P001,Morning Ritual Blend,whole_bean,1,18.99,0.1,17.09,6.5
OI00000085,O00000048,C000046,P004,Cold Brew Starter Kit,equipment,1,34.99,0.1,31.49,12.0
OI00000086,O00000048,C000046,P004,Cold Brew Starter Kit,equipment,1,34.99,0.1,31.49,12.0
OI00000087,O00000049,C000046,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000088,O00000050,C000046,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000089,O00000051,C000047,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000090,O00000052,C000048,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000091,O00000053,C000049,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,2,22.99,0.1,41.38,16.8
OI00000092,O00000053,C000049,P002,Dark Roast Espresso,whole_bean,1,21.99,0.1,19.79,7.2
OI00000093,O00000054,C000049,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000094,O00000055,C000049,P003,Single Origin Ethiopia,whole_bean,2,26.99,0.0,53.98,19.6
OI00000095,O00000056,C000050,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000096,O00000057,C000051,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000097,O00000058,C000052,P001,Morning Ritual Blend,whole_bean,2,18.99,0.2,30.38,13.0
OI00000098,O00000058,C000052,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.2,31.19,13.5
OI00000099,O00000059,C000054,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.2,31.19,13.5
OI00000100,O00000059,C000054,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.2,21.59,9.8
OI00000101,O00000060,C000054,P004,Cold Brew Starter Kit,equipment,1,34.99,0.1,31.49,12.0
OI00000102,O00000061,C000057,P002,Dark Roast Espresso,whole_bean,1,21.99,0.2,17.59,7.2
OI00000103,O00000061,C000057,P001,Morning Ritual Blend,whole_bean,3,18.99,0.2,45.58,19.5
OI00000104,O00000062,C000058,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000105,O00000062,C000058,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000106,O00000062,C000058,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000107,O00000063,C000059,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.15,19.54,8.4
OI00000108,O00000064,C000060,P002,Dark Roast Espresso,whole_bean,1,21.99,0.1,19.79,7.2
OI00000109,O00000064,C000060,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000110,O00000064,C000060,P002,Dark Roast Espresso,whole_bean,2,21.99,0.1,39.58,14.4
OI00000111,O00000065,C000064,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000112,O00000065,C000064,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000113,O00000065,C000064,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000114,O00000065,C000064,P002,Dark Roast Espresso,whole_bean,2,21.99,0.0,43.98,14.4
OI00000115,O00000066,C000066,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000116,O00000066,C000066,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000117,O00000067,C000068,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000118,O00000068,C000070,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.1,24.29,9.8
OI00000119,O00000069,C000071,P002,Dark Roast Espresso,whole_bean,1,21.99,0.2,17.59,7.2
OI00000120,O00000069,C000071,P008,Reusable Brew Bag,equipment,1,12.99,0.2,10.39,3.2
OI00000121,O00000069,C000071,P008,Reusable Brew Bag,equipment,1,12.99,0.2,10.39,3.2
OI00000122,O00000070,C000074,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000123,O00000071,C000074,P001,Morning Ritual Blend,whole_bean,2,18.99,0.0,37.98,13.0
OI00000124,O00000071,C000074,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000125,O00000072,C000074,P001,Morning Ritual Blend,whole_bean,3,18.99,0.0,56.97,19.5
OI00000126,O00000072,C000074,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000127,O00000073,C000075,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000128,O00000074,C000075,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000129,O00000075,C000076,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000130,O00000075,C000076,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000131,O00000076,C000077,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.2,18.39,8.4
OI00000132,O00000077,C000078,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000133,O00000077,C000078,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000134,O00000078,C000078,P002,Dark Roast Espresso,whole_bean,2,21.99,0.0,43.98,14.4
OI00000135,O00000078,C000078,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000136,O00000079,C000078,P004,Cold Brew Starter Kit,equipment,2,34.99,0.0,69.98,24.0
OI00000137,O00000079,C000078,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000138,O00000080,C000079,P008,Reusable Brew Bag,equipment,1,12.99,0.15,11.04,3.2
OI00000139,O00000081,C000080,P001,Morning Ritual Blend,whole_bean,2,18.99,0.1,34.18,13.0
OI00000140,O00000081,C000080,P006,Decaf House Blend,whole_bean,1,17.99,0.1,16.19,6.2
OI00000141,O00000081,C000080,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.1,24.29,9.8
OI00000142,O00000081,C000080,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000143,O00000082,C000083,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000144,O00000083,C000085,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000145,O00000084,C000086,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000146,O00000084,C000086,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000147,O00000085,C000087,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000148,O00000085,C000087,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,2,22.99,0.0,45.98,16.8
OI00000149,O00000086,C000088,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000150,O00000086,C000088,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,2,22.99,0.0,45.98,16.8
OI00000151,O00000087,C000089,P002,Dark Roast Espresso,whole_bean,1,21.99,0.2,17.59,7.2
OI00000152,O00000088,C000091,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000153,O00000089,C000092,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.15,19.54,8.4
OI00000154,O00000089,C000092,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.15,33.14,13.5
OI00000155,O00000089,C000092,P002,Dark Roast Espresso,whole_bean,3,21.99,0.15,56.07,21.6
OI00000156,O00000090,C000093,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000157,O00000090,C000093,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000158,O00000090,C000093,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000159,O00000091,C000094,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000160,O00000092,C000094,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000161,O00000093,C000094,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000162,O00000093,C000094,P006,Decaf House Blend,whole_bean,3,17.99,0.0,53.97,18.6
OI00000163,O00000094,C000094,P006,Decaf House Blend,whole_bean,1,17.99,0.1,16.19,6.2
OI00000164,O00000094,C000094,P008,Reusable Brew Bag,equipment,2,12.99,0.1,23.38,6.4
OI00000165,O00000095,C000095,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000166,O00000096,C000096,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000167,O00000097,C000096,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000168,O00000098,C000097,P004,Cold Brew Starter Kit,equipment,2,34.99,0.0,69.98,24.0
OI00000169,O00000099,C000098,P002,Dark Roast Espresso,whole_bean,2,21.99,0.0,43.98,14.4
OI00000170,O00000099,C000098,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000171,O00000099,C000098,P008,Reusable Brew Bag,equipment,2,12.99,0.0,25.98,6.4
OI00000172,O00000099,C000098,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000173,O00000100,C000098,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000174,O00000100,C000098,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000175,O00000100,C000098,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000176,O00000101,C000098,P001,Morning Ritual Blend,whole_bean,1,18.99,0.2,15.19,6.5
OI00000177,O00000102,C000098,P008,Reusable Brew Bag,equipment,1,12.99,0.2,10.39,3.2
OI00000178,O00000103,C000099,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000179,O00000104,C000099,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000180,O00000105,C000101,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000181,O00000106,C000101,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000182,O00000107,C000103,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000183,O00000108,C000104,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000184,O00000109,C000105,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000185,O00000109,C000105,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.1,70.18,27.0
OI00000186,O00000110,C000105,P003,Single Origin Ethiopia,whole_bean,3,26.99,0.0,80.97,29.4
OI00000187,O00000110,C000105,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000188,O00000111,C000105,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000189,O00000111,C000105,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000190,O00000112,C000105,P001,Morning Ritual Blend,whole_bean,2,18.99,0.0,37.98,13.0
OI00000191,O00000112,C000105,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000192,O00000113,C000105,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000193,O00000113,C000105,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000194,O00000114,C000105,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000195,O00000115,C000105,P003,Single Origin Ethiopia,whole_bean,2,26.99,0.0,53.98,19.6
OI00000196,O00000115,C000105,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000197,O00000116,C000105,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000198,O00000117,C000106,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000199,O00000117,C000106,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.0,26.99,9.8
OI00000200,O00000118,C000107,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000201,O00000118,C000107,P005,Subscription Box — 2 bags/mo,subscription,3,38.99,0.0,116.97,40.5
OI00000202,O00000119,C000107,P003,Single Origin Ethiopia,whole_bean,2,26.99,0.0,53.98,19.6
OI00000203,O00000119,C000107,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000204,O00000119,C000107,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000205,O00000120,C000110,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000206,O00000121,C000111,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000207,O00000122,C000113,P002,Dark Roast Espresso,whole_bean,2,21.99,0.1,39.58,14.4
OI00000208,O00000122,C000113,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000209,O00000122,C000113,P001,Morning Ritual Blend,whole_bean,1,18.99,0.1,17.09,6.5
OI00000210,O00000122,C000113,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,2,22.99,0.1,41.38,16.8
OI00000211,O00000123,C000115,P002,Dark Roast Espresso,whole_bean,3,21.99,0.0,65.97,21.6
OI00000212,O00000124,C000116,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000213,O00000125,C000117,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000214,O00000126,C000118,P003,Single Origin Ethiopia,whole_bean,1,26.99,0.1,24.29,9.8
OI00000215,O00000127,C000119,P004,Cold Brew Starter Kit,equipment,1,34.99,0.1,31.49,12.0
OI00000216,O00000128,C000121,P008,Reusable Brew Bag,equipment,1,12.99,0.2,10.39,3.2
OI00000217,O00000128,C000121,P008,Reusable Brew Bag,equipment,1,12.99,0.2,10.39,3.2
OI00000218,O00000129,C000121,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000219,O00000129,C000121,P004,Cold Brew Starter Kit,equipment,3,34.99,0.0,104.97,36.0
OI00000220,O00000130,C000121,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000221,O00000130,C000121,P006,Decaf House Blend,whole_bean,3,17.99,0.0,53.97,18.6
OI00000222,O00000130,C000121,P004,Cold Brew Starter Kit,equipment,2,34.99,0.0,69.98,24.0
OI00000223,O00000131,C000121,P006,Decaf House Blend,whole_bean,1,17.99,0.0,17.99,6.2
OI00000224,O00000132,C000121,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000225,O00000133,C000121,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000226,O00000134,C000121,P001,Morning Ritual Blend,whole_bean,1,18.99,0.1,17.09,6.5
OI00000227,O00000134,C000121,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000228,O00000135,C000122,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000229,O00000136,C000122,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000230,O00000136,C000122,P004,Cold Brew Starter Kit,equipment,1,34.99,0.0,34.99,12.0
OI00000231,O00000136,C000122,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000232,O00000137,C000122,P008,Reusable Brew Bag,equipment,1,12.99,0.1,11.69,3.2
OI00000233,O00000138,C000122,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000234,O00000139,C000122,P008,Reusable Brew Bag,equipment,1,12.99,0.15,11.04,3.2
OI00000235,O00000140,C000122,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000236,O00000141,C000123,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000237,O00000142,C000124,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000238,O00000143,C000125,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000239,O00000144,C000125,P001,Morning Ritual Blend,whole_bean,1,18.99,0.15,16.14,6.5
OI00000240,O00000144,C000125,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.15,19.54,8.4
OI00000241,O00000145,C000125,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000242,O00000145,C000125,P002,Dark Roast Espresso,whole_bean,1,21.99,0.0,21.99,7.2
OI00000243,O00000145,C000125,P004,Cold Brew Starter Kit,equipment,2,34.99,0.0,69.98,24.0
OI00000244,O00000146,C000125,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.15,19.54,8.4
OI00000245,O00000147,C000128,P007,Nitro Cold Brew Cans 6pk,ready_to_drink,1,22.99,0.0,22.99,8.4
OI00000246,O00000147,C000128,P005,Subscription Box — 2 bags/mo,subscription,2,38.99,0.0,77.98,27.0
OI00000247,O00000148,C000129,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000248,O00000148,C000129,P005,Subscription Box — 2 bags/mo,subscription,1,38.99,0.0,38.99,13.5
OI00000249,O00000148,C000129,P008,Reusable Brew Bag,equipment,1,12.99,0.0,12.99,3.2
OI00000250,O00000149,C000130,P004,Cold Brew Starter Kit,equipment,3,34.99,0.0,104.97,36.0
OI00000251,O00000149,C000130,P001,Morning Ritual Blend,whole_bean,3,18.99,0.0,56.97,19.5
OI00000252,O00000150,C000131,P006,Decaf House Blend,whole_bean,1,17.99,0.15,15.29,6.2
OI00000253,O00000150,C000131,P001,Morning Ritual Blend,whole_bean,1,18.99,0.15,16.14,6.5
OI00000254,O00000151,C000132,P006,Decaf House Blend,whole_bean,1,17.99,0.2,14.39,6.2
OI00000255,O00000152,C000134,P001,Morning Ritual Blend,whole_bean,1,18.99,0.0,18.99,6.5
OI00000256,O00000153,C000135,P004,Cold Brew Starter Kit,equipment,3,34.99,0.15,89.22,36.0
OI00000257,O00000153,C000135,P002,Dark Roast Espresso,whole_bean,1,21.99,0.15,18.69,7.2
